1.5 uM treated 50 min 3,"[0.45042837095882643, 0.11700069220145093, 0.4489327603727517]"
1.5 uM untreated 50 min 1,"[0.21636246172197965, 0.09093523669898525, 0.1982641761505114]"
1.5 uM untreated 50 min 2,"[0.07962652442271821, 0.050045478965593276, 0.07019588783024604]"
2 uM treated 50 min 1,"[0.1787795850153002, 0.08909066453482449, 0.15406684881768895]"
2 uM treated 50 min 2,"[0.06193416291427172, 0.030423841802044736, 0.06074321563863765]"
2 uM treated 50 min 3,"[0.10558888943995184, 0.04329972982956195, 0.09157371242209039]"
2 uM untreated 50 min 1,"[0.13062634511610222, 0.06912083567887334, 0.10699728495512534]"
2 um untreated 50 min 2,"[0.07661698099544767, 0.04219622999247388, 0.06719092409909652]"
2.5 uM treatd 50 min 1,"[0.058375984980452045, 0.04120273292122047, 0.05849138750013319]"
2.5 um treated 50 min 2,"[0.08636946595684929, 0.03867428214536359, 0.09286337037536439]"
2.5 uM treated 50 min 3,"[0.22383723356607124, 0.04604423018328521, 0.2288754609091277]"
2.5 uM untreated 50 min 1,"[0.2756498523150898, 0.14592429817263494, 0.23160981928369576]"
2.5 uM untreated 50 min 2,"[0.18305757542100495, 0.06051824659903546, 0.1661332908172604]"
3 uM treated 50 min 1,"[0.08492958968112743, 0.036746742858749515, 0.08354230524209909]"
3 uM treated 50 min 2,"[0.1833083295461317, 0.1630497515037417, 0.1212718649523444]"
3 uM treated 50 min 3,"[0.09408477394532892, 0.029834619566405183, 0.09892051501524572]"
3 uM untreated 50 min 1,"[0.4447014741323192, 0.21543164502307197, 0.416102837996325]"
3 um untreated 50 min 2,"[0.36990908825167057, 0.11242727290609181, 0.32599396305346695]"
.5 uM treated 30 min 1,"[0.15320406967412042, 0.109029352830223, 0.051382320599302214]"
.5 um treated 30 min 2,"[0.1313186575819197, 0.06824683854256121, 0.08510934984982209]"
.5 um treated 30 min 3,"[0.08930374545103023, 0.05745717925798418, 0.07137532555278721]"
.5 uM untreated 30 min 1,"[0.4174244500923142, 0.18181593700537074, 0.3792495231862774]"
.5 uM untreated 30 min 2,"[0.22092319053962986, 0.084985482380532, 0.16117158683202867]"
1 uM treated 30 min 1,"[0.2576859333636457, 0.10218299552703362, 0.20919844323351403]"
1 uM treated 30 min 2,"[0.07802450253534006, 0.027797591283567184, 0.07609863532765988]"
1 uM treated 30 min 3,"[0.0706653089072918, 0.02829994331843786, 0.06452311757425339]"
1 uM untreated 30 min 1,"[0.0717097021150995, 0.038467306699590864, 0.04948455417251988]"
1 uM untreated 30 min 2,"[0.08073002882129733, 0.04323104259645648, 0.05647264087343659]"
1.5 uM treated 30 min 2,"[0.38831544047083505, 0.2696198459342067, 0.18566305662835725]"
1.5 uM treated 30 min 3,"[0.3986429626299819, 0.11588742084192011, 0.42435736326172596]"
1.5 uM untreated 30 min 1,"[0.13532681177064115, 0.04719911644840087, 0.11717514395652937]"
1.5 uM untreated 30 min 2,"[0.06332228351240765, 0.04468618997417596, 0.03751273549588403]"
2 uM treated 30 min 1,"[0.09779275222401411, 0.020166194283093183, 0.09376449932872452]"
2 um treated 30 min 2,"[0.08073441507079532, 0.04436570607406026, 0.07836897881087773]"
2 uM treated 30 min 3,"[0.05498922946636454, 0.3504140315600655, 0.11527496024772135]"
2 uM untreated 30 min 1,"[0.19152783456057265, 0.0841870954203682, 0.14793514200686642]"
2 uM untreated 30 min 2,"[0.12106088739214069, 0.049250618965869034, 0.0964624766875808]"
2.5 uM treated 30 min 1,"[0.07658282457110668, 0.04395510184714308, 0.06620762855001674]"
2.5 uM treated 30 min 2,"[0.17332413232623492, 0.060667283631563165, 0.18493465572100296]"
2.5 uM treated 30 min 3,"[0.10384133157337945, 0.020977762634948938, 0.08578333777979288]"
2.5 uM untreated 30 min 1,"[0.17175978302117573, 0.11660297619009533, 0.14724263750154268]"
2.5 uM untreated 30 min 2,"[0.1364518640422867, 0.07984138626560718, 0.11711160632822734]"
3 uM treated 30 min 1,"[0.09767020099565099, 0.03837216988483209, 0.10970771381004951]"
3 uM treated 30 min 3,"[0.16199528526025972, 0.10599511419912787, 0.20373803667754864]"
0.5 uM treated 50 min 1,"[0.06780977099781767, 0.05812418595359384, 0.07035668238414539]"
0.5 uM treated 50 min 2,"[0.017204021463700533, 0.012509471083044304, 0.011023097523862302]"
0.5 um treated 50 min 3,"[0.026341169085616605, 0.030368571449864844, 0.019474133108483067]"
0.5 uM untreated 50 min 1,"[0.003439937275437894, 0.003776377170023619, 0.0029076634499311305]"
0.5 uM untreated 50 min 2,"[0.03261800457573899, 0.020315613349793486, 0.025942056472341445]"
1 uM treated 50 min 1,"[0.037765100649674505, 0.02466535000661901, 0.04170379308057677]"
